nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,label
-0.004845,-0.012892,-0.012888,-0.006419,-0.013122,-0.00357,-0.007035,-0.012054,-0.012277,-0.008687,-0.010717,0.014447,-0.004853,-0.004721,-0.007795,0.001419,0.006702,0.014658,-0.010536,0.006635,-0.024985,0
-0.002336,-0.009347,0.015139,-0.004512,-0.008885,0.022055,-0.00486,-0.00781,0.017734,-0.007757,-0.005591,0.028201,-0.004732,-0.000684,0.0118,-0.00057,0.007007,0.032638,-0.007807,0.007988,-0.008258,0
-0.004499,-0.001607,0.011752,-0.00497,-0.00167,0.013301,-0.005097,0.000619,0.014436,-0.007584,0.000849,0.01742,-0.004673,0.006744,0.025786,-0.004544,0.007461,0.008105,-0.005729,0.009632,0.036823,0
-0.001455,-0.001857,-0.08846,-0.002752,-0.001276,-0.077732,-0.003505,8.9e-05,-0.076979,-0.005962,0.001107,-0.030167,-0.004447,0.006147,-0.026874,-0.003549,0.003665,-0.064023,-0.003282,0.008835,0.002795,0
-0.001458,-0.002239,-0.02577,-0.002656,-0.002372,-0.014063,-0.003528,-0.000686,-0.011276,-0.005939,-0.000949,0.026363,-0.004513,0.005465,0.041266,-0.001492,0.000143,-0.044556,-0.003206,0.009574,0.104492,0
-0.001432,-0.006977,-0.07746,-0.002734,-0.007616,-0.06511,-0.003465,-0.003806,-0.064574,-0.006031,-0.010344,-0.01578,-0.004195,0.001104,-0.011274,0.005895,0.002685,-0.049232,-0.001323,0.013292,-0.013589,0
-0.001182,-0.008409,-0.076731,-0.0025,-0.008792,-0.064583,-0.003026,-0.004931,-0.069025,-0.005564,-0.011665,-0.011802,-0.003493,-0.000603,-0.034242,0.005648,-0.000512,-0.033347,0.001647,0.009212,-0.036502,0
-6e-06,-0.00387,-0.07627,-0.001525,-0.004449,-0.065418,-0.001637,-0.002926,-0.066834,-0.004214,-0.006774,-0.019116,-0.00293,0.001083,-0.032342,0.004303,-0.001763,-0.037184,0.001783,0.009111,-0.033503,0
0.005597,0.027432,-0.023574,0.000422,0.021351,-0.016027,0.003584,0.023065,-0.023829,-0.001616,0.009781,0.024474,-0.002844,0.019063,-0.012831,0.00491,-0.004644,0.015834,-0.002157,0.016354,-0.028448,0
0.007506,0.035003,0.067081,0.001198,0.026661,0.072285,0.004841,0.029742,0.067556,-0.000962,0.014294,0.101388,-0.00288,0.023619,0.078286,0.007019,-0.004348,0.09282,-0.002836,0.016121,0.077361,0
0.007849,0.0376,-0.022909,0.001466,0.028194,-0.023546,0.004989,0.031783,-0.02788,-0.000645,0.015089,0.011203,-0.003323,0.025051,-0.007853,0.008613,-0.00661,0.046473,-0.002038,0.013895,0.008832,0
0.012385,0.032848,0.016455,0.004373,0.026588,0.021547,0.008134,0.024315,0.009867,0.002167,0.014761,0.063765,-0.003066,0.021781,0.012968,0.008042,-0.007952,0.085813,-0.001422,0.011336,-0.000826,0
0.016345,0.022201,0.116689,0.006222,0.021163,0.124671,0.010394,0.014922,0.113272,0.003574,0.013512,0.162064,-0.002641,0.015572,0.110758,0.006912,-0.00717,0.155614,-0.001821,0.013483,0.049332,0
0.018163,0.015301,0.02077,0.007309,0.015724,0.023969,0.011731,0.008923,0.01756,0.004789,0.01016,0.054833,-0.002072,0.010587,0.024967,0.006325,-0.007645,0.027849,-0.001882,0.0112,0.005859,0
0.021939,0.016026,-0.020339,0.010863,0.016797,-0.015871,0.015135,0.009035,-0.034417,0.00553,0.009593,0.029625,-0.001623,0.010154,-0.056215,0.003303,-0.008648,0.051625,-0.006001,0.010073,-0.07673,0
0.027497,0.017904,-0.000584,0.016921,0.017542,0.006786,0.021548,0.008894,-0.006584,0.006807,0.009002,0.045982,0.001112,0.006717,-0.018442,0.001196,-0.016729,0.063298,-0.00839,0.005968,-0.040223,0
0.034228,0.02875,0.074747,0.024492,0.024857,0.073857,0.031255,0.015095,0.057054,0.009377,0.010935,0.113837,0.004534,0.00693,0.037398,-0.004958,-0.022512,0.133838,-0.009176,-0.00076,0.021652,0
0.033502,0.031897,0.025934,0.024299,0.028056,0.025326,0.030916,0.018095,0.006905,0.009617,0.013144,0.073538,0.004819,0.007446,-0.014478,-0.007511,-0.022743,0.119746,-0.009921,-0.004043,-0.005078,0
0.033489,0.03294,0.034895,0.024449,0.028735,0.034174,0.031794,0.019084,0.016854,0.00989,0.013699,0.072748,0.005334,0.008278,-0.008898,-0.00749,-0.021362,0.108104,-0.010272,-0.004813,-0.01782,0
0.033985,0.033419,0.116144,0.025143,0.029139,0.117126,0.033546,0.019595,0.099199,0.010321,0.014029,0.14527,0.006225,0.008477,0.060607,-0.008206,-0.020732,0.151064,-0.011388,-0.005152,0.027932,0
0.033648,0.033035,0.12658,0.024795,0.028963,0.129616,0.033089,0.018992,0.111036,0.009822,0.01388,0.16232,0.006003,0.007946,0.074226,-0.011098,-0.019952,0.167152,-0.011654,-0.007509,0.043009,0
0.032892,0.03179,0.133064,0.023958,0.028232,0.135382,0.031698,0.018343,0.117546,0.009017,0.013422,0.164349,0.004879,0.007634,0.078911,-0.011988,-0.019327,0.1715,-0.011724,-0.008723,0.052682,0
0.032239,0.032291,0.133418,0.023079,0.028309,0.134629,0.030569,0.01951,0.11499,0.007809,0.0132,0.161405,0.003541,0.00801,0.068501,-0.012563,-0.020513,0.166003,-0.012131,-0.008383,0.040448,0
0.029615,0.024567,0.129594,0.019999,0.023943,0.128917,0.026767,0.014562,0.110136,0.005459,0.01047,0.151251,0.002079,0.00566,0.067999,-0.013221,-0.022087,0.162211,-0.012238,-0.015337,0.02863,0
