nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,label
0.429073,0.487824,-0.807615,0.467148,0.442692,-0.753578,0.393417,0.444183,-0.757148,0.497018,0.474326,-0.420865,0.368107,0.470768,-0.435189,0.608981,0.757952,-0.206442,0.259486,0.766365,-0.29767,0
0.432861,0.464153,-0.777251,0.470845,0.418463,-0.730736,0.394233,0.422077,-0.728166,0.506646,0.455433,-0.432044,0.3683,0.455315,-0.412126,0.634803,0.760544,-0.244281,0.261132,0.759606,-0.310891,0
0.434466,0.457918,-0.788606,0.473023,0.412073,-0.73707,0.394962,0.414164,-0.7344,0.512818,0.448348,-0.438265,0.369475,0.447974,-0.41167,0.649554,0.768268,-0.250397,0.25989,0.765979,-0.318886,0
0.441168,0.446037,-0.838896,0.481258,0.400549,-0.786919,0.399868,0.401612,-0.786157,0.522878,0.439637,-0.467456,0.374557,0.438278,-0.451579,0.658869,0.772328,-0.260885,0.259613,0.769823,-0.343882,0
0.443358,0.445499,-0.895616,0.484495,0.399589,-0.841213,0.4017,0.400725,-0.840484,0.526072,0.439178,-0.503754,0.376396,0.436142,-0.488311,0.659576,0.773583,-0.286041,0.259048,0.771081,-0.357304,0
0.444773,0.446326,-0.872865,0.48584,0.400494,-0.820263,0.402709,0.401805,-0.820482,0.527371,0.439833,-0.492363,0.377172,0.436724,-0.480805,0.659716,0.776011,-0.280048,0.25856,0.771419,-0.357709,0
0.440821,0.446641,-0.876436,0.485295,0.401033,-0.825064,0.40053,0.402214,-0.823808,0.527184,0.440496,-0.496642,0.377009,0.436915,-0.478556,0.659556,0.77702,-0.287933,0.257012,0.771051,-0.356445,0
0.439466,0.447487,-0.923195,0.485144,0.401926,-0.86815,0.399415,0.402635,-0.866513,0.526623,0.441934,-0.514619,0.376633,0.43705,-0.495866,0.656823,0.777244,-0.290653,0.255496,0.770598,-0.354398,0
0.438034,0.450392,-0.922139,0.484768,0.404671,-0.867519,0.398462,0.404163,-0.866516,0.524533,0.443994,-0.519701,0.37617,0.437351,-0.503739,0.651254,0.776595,-0.295867,0.253014,0.770624,-0.347563,0
0.436859,0.452021,-0.917452,0.483764,0.405849,-0.861807,0.397735,0.405388,-0.861492,0.522077,0.445001,-0.509607,0.375816,0.438317,-0.49845,0.645001,0.776174,-0.28307,0.253676,0.766977,-0.345003,0
0.436048,0.453142,-0.882181,0.48214,0.407029,-0.824999,0.397267,0.406789,-0.82685,0.516889,0.445868,-0.46967,0.375632,0.439323,-0.468304,0.63793,0.774626,-0.239308,0.254852,0.764173,-0.33328,0
0.435788,0.45419,-0.864432,0.479412,0.409194,-0.808076,0.397205,0.409237,-0.811732,0.509696,0.446873,-0.455781,0.375189,0.441622,-0.461507,0.626776,0.764639,-0.211363,0.255879,0.761468,-0.336611,0
0.438432,0.458061,-0.849989,0.479656,0.4138,-0.791144,0.399219,0.413004,-0.800727,0.509271,0.449995,-0.430405,0.375037,0.444605,-0.466256,0.621205,0.758455,-0.172311,0.256217,0.761147,-0.356775,0
0.440315,0.466249,-0.825163,0.478873,0.423577,-0.772166,0.400107,0.424076,-0.777943,0.507466,0.455766,-0.428693,0.374794,0.453682,-0.448035,0.617827,0.75591,-0.171629,0.261712,0.759151,-0.324151,0
0.439771,0.47932,-0.829278,0.47751,0.436753,-0.773854,0.40035,0.436678,-0.782485,0.506715,0.464705,-0.426388,0.374728,0.461561,-0.44619,0.616169,0.755987,-0.152571,0.268254,0.751688,-0.309677,0
0.439746,0.489078,-0.805327,0.477421,0.445315,-0.749039,0.400483,0.443071,-0.759401,0.50672,0.473383,-0.40447,0.374739,0.467643,-0.430652,0.614263,0.75795,-0.134182,0.270317,0.752216,-0.299565,0
0.441749,0.493669,-0.797844,0.478369,0.449283,-0.743993,0.402736,0.445653,-0.75336,0.506909,0.478916,-0.406119,0.375034,0.46956,-0.440196,0.611307,0.759038,-0.17223,0.270137,0.75725,-0.300093,0
0.441706,0.497458,-0.83806,0.47848,0.453053,-0.78344,0.402889,0.44842,-0.790043,0.50691,0.48451,-0.43233,0.375047,0.472965,-0.456079,0.607735,0.759633,-0.201336,0.270073,0.759073,-0.291104,0
0.440986,0.499441,-0.765328,0.47769,0.454595,-0.713099,0.402435,0.451069,-0.719932,0.505847,0.487113,-0.38788,0.374817,0.478803,-0.410792,0.605194,0.760015,-0.168119,0.270375,0.759888,-0.281434,0
0.441501,0.503746,-0.756688,0.477301,0.459137,-0.706105,0.402747,0.455424,-0.711774,0.504976,0.490258,-0.379906,0.374643,0.483963,-0.396937,0.602926,0.759235,-0.156377,0.271531,0.759076,-0.267406,0
0.442478,0.505151,-0.78779,0.477317,0.461006,-0.732929,0.403773,0.456982,-0.741706,0.504549,0.49177,-0.390806,0.374793,0.485439,-0.420912,0.601528,0.757868,-0.160313,0.271685,0.759823,-0.272711,0
0.442519,0.504575,-0.794944,0.477173,0.460958,-0.740663,0.403989,0.456977,-0.747781,0.504462,0.491761,-0.399143,0.375213,0.485507,-0.422145,0.601377,0.757051,-0.168106,0.272015,0.760121,-0.267808,0
0.441955,0.504563,-0.769001,0.476933,0.461514,-0.717582,0.404108,0.457301,-0.723263,0.50439,0.492306,-0.387272,0.376201,0.485732,-0.404877,0.601094,0.757224,-0.151712,0.273205,0.759274,-0.261705,0
0.442062,0.508941,-0.739171,0.476986,0.467177,-0.690914,0.404548,0.461257,-0.695056,0.504439,0.495103,-0.375677,0.376605,0.488184,-0.38524,0.599847,0.757459,-0.15062,0.273279,0.759887,-0.24863,0
0.441743,0.511163,-0.720237,0.476895,0.469446,-0.673883,0.404594,0.463252,-0.678266,0.504578,0.496458,-0.367408,0.376904,0.489949,-0.376753,0.599802,0.757583,-0.149398,0.273409,0.760542,-0.245674,0
0.437834,0.51936,-0.714174,0.475047,0.472942,-0.675607,0.403239,0.469868,-0.672482,0.504074,0.497938,-0.384199,0.37714,0.49339,-0.370004,0.599952,0.757668,-0.151099,0.27505,0.759645,-0.23708,0
0.407705,0.525046,-0.654717,0.454788,0.474622,-0.624416,0.38533,0.475087,-0.612605,0.495615,0.499013,-0.37589,0.376317,0.495984,-0.304141,0.600433,0.759685,-0.167515,0.276083,0.760061,-0.175645,0
0.403512,0.524822,-0.769322,0.450011,0.473154,-0.7289,0.381165,0.475275,-0.720224,0.491997,0.498909,-0.43119,0.37436,0.496888,-0.379152,0.600868,0.756655,-0.209102,0.278917,0.764055,-0.221397,0
